CustomerName,Class,Long,Latt,Gallons
1293-2-10 DXP - GRAND PRAIRIE BALLISTIC ,All,-97.01216,32.759922,84
1293-2-10 DXP - GRAND PRAIRIE BALLISTIC ,OCTG                          ,-97.01216,32.759922,84
"1294-801-10 DURAFLAME, INC                ",WAXES                         ,-84.54437,37.075624,203967
"1294-801-10 DURAFLAME, INC                ",All,-84.54437,37.075624,203967
1297-901-10 CPS CHEMICALS (OIL-TECH) PTY  ,All,25.06287956,-29.04618454,8320
1297-901-10 CPS CHEMICALS (OIL-TECH) PTY  ,RESINS                        ,25.06287956,-29.04618454,8320
130-1-10 ALERIS                        ,All,-80.20915,38.997267,10476
130-1-10 ALERIS                        ,KENSOL DISTILLATES HT         ,-80.20915,38.997267,10476
"1312-1-10 EAST RIVER ENERGY, INC        ",FUEL OIL                      ,-72.69791,41.31353,14613
"1312-1-10 EAST RIVER ENERGY, INC        ",All,-72.69791,41.31353,14613
"1330-9-10 HOUGHTON US- DETROIT, MI      ",All,-83.21722,42.355437,41423
"1330-9-10 HOUGHTON US- DETROIT, MI      ",SPECIALTY PRODUCTS            ,-83.21722,42.355437,29243
"1330-9-10 HOUGHTON US- DETROIT, MI      ",RESINS                        ,-83.21722,42.355437,10726
"1330-9-10 HOUGHTON US- DETROIT, MI      ",IN PROCESS-BASE OILS          ,-83.21722,42.355437,1454
1333-901-10 HOUGHTON (SHANGHAI) SPECIALTY ,All,103.9754333,36.55308533,123482
1333-901-10 HOUGHTON (SHANGHAI) SPECIALTY ,SPECIALTY PRODUCTS            ,103.9754333,36.55308533,121507
1333-901-10 HOUGHTON (SHANGHAI) SPECIALTY ,RESINS                        ,103.9754333,36.55308533,1975
1335-2-10 EASTERN INDUSTRIAL AUTOMATION ,All,-71.44828,42.967684,124
1335-2-10 EASTERN INDUSTRIAL AUTOMATION ,OCTG                          ,-71.44828,42.967684,124
"1337-901-10 HOUGHTON TAIWAN CO., LTD      ",All,120.8974915,23.68578911,57164
"1337-901-10 HOUGHTON TAIWAN CO., LTD      ",SPECIALTY PRODUCTS            ,120.8974915,23.68578911,57164
1346-1-10 EASTERN OIL COMPANY           ,All,-83.30243,42.626947,52
1346-1-10 EASTERN OIL COMPANY           ,RESINS                        ,-83.30243,42.626947,52
1370-1-10 TOTAL LUBRICANTS              ,All,-74.25339,40.633953,3952
1370-1-10 TOTAL LUBRICANTS              ,RESINS                        ,-74.25339,40.633953,2496
1370-1-10 TOTAL LUBRICANTS              ,SPECIALTY PRODUCTS            ,-74.25339,40.633953,1456
1370-901-10 TOTAL LUBRIFIANTS             ,RESINS                        ,2.338262081,46.63727951,625
1370-901-10 TOTAL LUBRIFIANTS             ,All,2.338262081,46.63727951,625
1403-1-10 ENERGY MARK LLS               ,FUEL OIL                      ,-78.80047,42.968057,211604
1403-1-10 ENERGY MARK LLS               ,All,-78.80047,42.968057,211604
"1404-1-10 ENTERPRISE SPECIALTY PRODUCTS,",KENSOL DISTILLATES HT         ,-82.02271,34.503167,134292
"1404-1-10 ENTERPRISE SPECIALTY PRODUCTS,",All,-82.02271,34.503167,134292
1412-3-10 ENOX LLC                      ,KENDEX 0150 HT                ,-75.53852,40.431982,990
1412-3-10 ENOX LLC                      ,All,-75.53852,40.431982,990
1414-901-10 ENVIRON SPECIALITY CHEMICALS  ,All,79.45809174,23.40601158,8310
1414-901-10 ENVIRON SPECIALITY CHEMICALS  ,RESINS                        ,79.45809174,23.40601158,8310
1416-901-10 ENVIRON SPECIALTY CHEMICALS   ,All,13.07865047,63.39963913,51
1416-901-10 ENVIRON SPECIALTY CHEMICALS   ,OCTG                          ,13.07865047,63.39963913,51
1417-1-10 ENERVEST OPERATING LLC        ,All,-80.20977,40.565367,56910
1417-1-10 ENERVEST OPERATING LLC        ,KENSOL DISTILLATES HT         ,-80.20977,40.565367,56910
1419-1-10 SPRAY PRODUCTS CORPORATION    ,FUEL OIL                      ,-81.85646,41.139849,53684
1419-1-10 SPRAY PRODUCTS CORPORATION    ,All,-81.85646,41.139849,53684
1425-4-10 ERGON                         ,All,-79.65608,40.711528,745137
1425-4-10 ERGON                         ,KENDEX 0847/H                 ,-79.65608,40.711528,745137
1460-903-10 ESPECIALIDADES QUIMICAS       ,All,-102.6334,23.90909386,3952
1460-903-10 ESPECIALIDADES QUIMICAS       ,RESINS                        ,-102.6334,23.90909386,3120
1460-903-10 ESPECIALIDADES QUIMICAS       ,SPECIALTY PRODUCTS            ,-102.6334,23.90909386,832
1468-1-10 EXIKON INDUSTRIES LLC         ,All,-81.78174,41.459399,13121
1468-1-10 EXIKON INDUSTRIES LLC         ,KENDEX 0150 HT                ,-81.78174,41.459399,12791
1468-1-10 EXIKON INDUSTRIES LLC         ,BASE OILS                     ,-81.78174,41.459399,330
1475-801-10 EXXON-MOBIL                   ,All,-94.10358,30.074112,22887
1475-801-10 EXXON-MOBIL                   ,RESINS                        ,-94.10358,30.074112,22887
1480-1-10 EXXON CORPORATION             ,All,-94.85558,38.889784,32070
1480-1-10 EXXON CORPORATION             ,RESINS                        ,-94.85558,38.889784,32070
1482-8-10 INFINEUM USA L.P.             ,KENSOL DISTILLATES HT         ,-95.26043,29.760794,32930
